,#,timestamp,dataset,subset,run,random,method,runtime,classifier,accuracy,cls_runtime,error,file,name,key
70,0,1626876618.0,Foursquare_nyc,generic,2,1,HL,15736557.0,MLP,68.75,39065.116,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Foursquare_nyc/run2/HL-generic/MLP-1/classification_times.csv,HL-MLP,Foursquare_nyc-generic-2
71,0,1626876618.0,Foursquare_nyc,generic,2,1,HL,15736557.0,RF,56.56250000000001,4214.070000000001,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Foursquare_nyc/run2/HL-generic/MLP-1/classification_times.csv,HL-RF,Foursquare_nyc-generic-2
72,0,1626533193.0,Foursquare_nyc,generic,2,1,HpL,1823547.0,MLP,74.84375238418579,72519.252,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Foursquare_nyc/run2/HpL-generic/MLP-1/classification_times.csv,HpL-MLP,Foursquare_nyc-generic-2
73,0,1626533193.0,Foursquare_nyc,generic,2,1,HpL,1823547.0,RF,66.71875,5132.2970000000005,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Foursquare_nyc/run2/HpL-generic/MLP-1/classification_times.csv,HpL-RF,Foursquare_nyc-generic-2
74,0,1626487311.0,Foursquare_nyc,specific,2,1,U,2897368.0,MLP,97.65625,115379.75,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Foursquare_nyc/run2/U-specific/MLP-1/classification_times.csv,U-MLP,Foursquare_nyc-specific-2
75,0,1626487311.0,Foursquare_nyc,specific,2,1,U,2897368.0,RF,96.09375,5559.22,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Foursquare_nyc/run2/U-specific/MLP-1/classification_times.csv,U-RF,Foursquare_nyc-specific-2
76,0,1620869888.0,Foursquare_nyc,generic,2,1,M2L,7056799.0,MLP,68.75,272230.94800000003,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Foursquare_nyc/run2/M2L-generic/MLP-1/classification_times.csv,M2L-MLP,Foursquare_nyc-generic-2
77,0,1620869888.0,Foursquare_nyc,generic,2,1,M2L,7056799.0,RF,53.59374999999999,7067.932,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Foursquare_nyc/run2/M2L-generic/MLP-1/classification_times.csv,M2L-RF,Foursquare_nyc-generic-2
78,0,1627046307.0,Foursquare_nyc,specific,2,1,HL,114176684.0,MLP,97.9687511920929,43808.102,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Foursquare_nyc/run2/HL-specific/MLP-1/classification_times.csv,HL-MLP,Foursquare_nyc-specific-2
79,0,1627046307.0,Foursquare_nyc,specific,2,1,HL,114176684.0,RF,95.3125,3570.321,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Foursquare_nyc/run2/HL-specific/MLP-1/classification_times.csv,HL-RF,Foursquare_nyc-specific-2
80,0,1622788622.0,Foursquare_nyc,poi_only,2,1,M2L,539736.0,MLP,97.9687511920929,285747.084,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Foursquare_nyc/run2/M2L-poi_only/MLP-1/classification_times.csv,M2L-MLP,Foursquare_nyc-poi_only-2
81,0,1622788622.0,Foursquare_nyc,poi_only,2,1,M2L,539736.0,RF,93.75,4805.362,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Foursquare_nyc/run2/M2L-poi_only/MLP-1/classification_times.csv,M2L-RF,Foursquare_nyc-poi_only-2
82,0,1626615960.0,Foursquare_nyc,specific,2,1,HpL,61307644.0,MLP,98.4375,66223.745,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Foursquare_nyc/run2/HpL-specific/MLP-1/classification_times.csv,HpL-MLP,Foursquare_nyc-specific-2
83,0,1626615960.0,Foursquare_nyc,specific,2,1,HpL,61307644.0,RF,95.625,4451.976000000001,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Foursquare_nyc/run2/HpL-specific/MLP-1/classification_times.csv,HpL-RF,Foursquare_nyc-specific-2
84,0,1623230984.0,Foursquare_nyc,specific,2,1,M2L,156488724.0,MLP,98.5937476158142,382809.63,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Foursquare_nyc/run2/M2L-specific/MLP-1/classification_times.csv,M2L-MLP,Foursquare_nyc-specific-2
85,0,1623230984.0,Foursquare_nyc,specific,2,1,M2L,156488724.0,RF,96.40625,5255.709000000001,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Foursquare_nyc/run2/M2L-specific/MLP-1/classification_times.csv,M2L-RF,Foursquare_nyc-specific-2
86,0,1626511039.0,Foursquare_nyc,generic,2,1,U,2235158.0,MLP,75.93749761581421,78222.163,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Foursquare_nyc/run2/U-generic/MLP-1/classification_times.csv,U-MLP,Foursquare_nyc-generic-2
